Symbol_Code,Group,Industries_Group,Table,En_Symbol,EN_name,Code,Name,Symbol
IRO1KAVR0001,N2,خودرو و ساخت قطعات,فهرست اوليه,KAVR1,Iran Khodro D.,67059303301834130,ايران‌ خودروديزل‌,خاور
IRO1GHAT0001,N1,خودرو و ساخت قطعات,تابلو فرعي,GHAT1,Iran Auto-Parts,70289374539527245,قطعات‌ اتومبيل‌ ايران‌,ختوقا
IRR1TMKH0101,N1,خودرو و ساخت قطعات,تابلو فرعي,TMKX1,VAMCO-R,71186910349639777,ح . توليدمحورخودرو,خمحورح
IRR1DALZ0101,N1,مواد و محصولات دارويي,تابلو اصلي,DALX1,Alborz Darou-R,3362850293262749,ح . البرزدارو,دالبرح
IRO1EXIR0001,N2,مواد و محصولات دارويي,فهرست اوليه,EXIR1,Exir Pharm.,4384288570322406,داروسازي‌ اكسير,دلر
IRO1DSBH0001,N2,مواد و محصولات دارويي,فهرست اوليه,DSBH1,Sobhan Pharm,5866848234665627,سبحان دارو,دسبحان
IRR1ABDI0101,N2,مواد و محصولات دارويي,فهرست اوليه,ABDX1,Dr. Abidi Lab.-R,7585208964980608,ح . داروسازي‌ دكترعبيدي‌,دعبيدح
IRO1DZAH0001,N2,مواد و محصولات دارويي,فهرست اوليه,DZAH1,Zahravi Phar.,8915450910866216,داروسازي‌زهراوي‌,دزهراوي
IRO1DSIN0001,N2,مواد و محصولات دارويي,فهرست اوليه,DSIN1,Sina Darou Lab.,11432067920374603,داروسازي‌ سينا,دسينا
IRR1THDR0101,N2,مواد و محصولات دارويي,فهرست اوليه,THDX1,Tehran Darou-R,11929836650963758,ح . داروسازي‌ تهران‌ دارو,دتهرانح
IRR1DOSE0101,N2,مواد و محصولات دارويي,فهرست اوليه,DOSX1,Osvah Pharm.-R,11936058301634784,ح . داروسازي‌ اسوه‌,داسوهح
IRO1DOSE0001,N2,مواد و محصولات دارويي,فهرست اوليه,DOSE1,Osvah Pharm.,12387472624849835,داروسازي‌ اسوه‌,داسوه
IRR1DDPK0101,N2,مواد و محصولات دارويي,فهرست اوليه,DDPX1,Daroupakhsh-R,16630588761222078,ح . شيمي‌ داروئي‌ داروپخش‌,دشيميح
IRR1DJBR0101,N1,مواد و محصولات دارويي,تابلو اصلي,DJBX1,Jaber Hayan P.-R,18079534829579164,ح . داروسازي‌ جابرابن‌حيان‌,دجابرح
IRR1TMVD0101,N1,مواد و محصولات دارويي,تابلو فرعي,TMVX1,Daroupakhash I.-R,18154205800023055,ح . توليدمواداوليه‌داروپخش‌,دتمادح
IRO1FTIR0001,N2,مواد و محصولات دارويي,فهرست اوليه,FTIR1,Iran Parenteral,18303237082155264,فرآورده‌هاي‌ تزريقي‌ ايران‌,دفرا
IRO1KIMI0001,N1,مواد و محصولات دارويي,تابلو اصلي,KIMI1,Chimidarou,20024911381434086,كيميدارو,دكيمي
IRR1DAML0101,N2,مواد و محصولات دارويي,فهرست اوليه,DAMX1,Damloran Pharm.-R,21533807502850906,ح . داروسازي زاگرس فارمد پارس,ددامح
IRO1DRZK0001,N2,مواد و محصولات دارويي,فهرست اوليه,DRZK1,Razak Lab.,22255783119783047,دارويي‌ رازك‌,درازك
IRO1DKSR0001,N1,مواد و محصولات دارويي,تابلو فرعي,DKSR1,Kowsar Pharm.,23353689102956991,داروسازي‌ كوثر,دكوثر
IRR1IRDR0101,N2,مواد و محصولات دارويي,فهرست اوليه,IRDX1,Iran Darou-R,25752723009842207,ح . ‌ايران‌دارو,ديرانح
IRO1THDR0001,N2,مواد و محصولات دارويي,فهرست اوليه,THDR1,Tehran Darou,26114418513020265,داروسازي‌ تهران‌ دارو,دتهران
IRR1DKSR0101,N1,مواد و محصولات دارويي,تابلو فرعي,DKSX1,Kowsar Pharm.-R,26314668128957507,ح . داروسازي‌ كوثر,دكوثرح
IRO1DLGM0001,N2,مواد و محصولات دارويي,فهرست اوليه,DLGM1,Loghman Pharm.,29247915161590165,دارويي‌ لقمان‌,دلقما
IRR1DABO0101,N2,مواد و محصولات دارويي,فهرست اوليه,DABX1,Abouraihan P.-R,32679348534913643,ح . داروسازي‌ ابوريحان‌,دابورح
IRO1DJBR0001,N1,مواد و محصولات دارويي,تابلو اصلي,DJBR1,Jaber Hayan P.,33406621820337161,داروسازي‌ جابرابن‌حيان‌,دجابر
IRO1DDPK0001,N2,مواد و محصولات دارويي,فهرست اوليه,DDPK1,Daroupakhsh,33603212156438463,شيمي‌ داروئي‌ داروپخش‌,دشيمي
IRO1TMVD0001,N1,مواد و محصولات دارويي,تابلو فرعي,TMVD1,Daroupakhash I.,34641719089573667,توليدمواداوليه‌داروپخش‌,دتماد
IRR1DSBH0101,N2,مواد و محصولات دارويي,فهرست اوليه,DSBX1,Sobhan Pharm-R,36667862403660976,ح. سبحان دارو,دسبحانح
IRR1DRZK0101,N2,مواد و محصولات دارويي,فهرست اوليه,DRZX1,Razak Lab.-R,38007943162762758,ح . دارويي‌ رازك‌,درازكح
IRR1DFRB0101,N1,مواد و محصولات دارويي,تابلو فرعي,DFRX1,Farabi Pharm.-R,38285971158073841,ح . داروسازي‌ فارابي‌,دفاراح
IRO1ROZD0001,N2,مواد و محصولات دارويي,فهرست اوليه,ROZD1,Rouz Darou P.,40262275031537922,داروسازي‌ روزدارو,دروز
IRR1AMIN0101,N1,مواد و محصولات دارويي,تابلو فرعي,AMIX1,Amin Pharm.-R,41673962293011307,ح . داروسازي‌ امين‌,دامينح
IRR1EXIR0101,N2,مواد و محصولات دارويي,فهرست اوليه,EXIX1,Exir Pharm.-R,42538255636473499,ح . داروسازي‌ اكسير,دلرح
IRR1KIMI0101,N1,مواد و محصولات دارويي,تابلو اصلي,KIMX1,Chimidarou-R,43588544194911344,ح . كيميدارو,دكيميح
IRO1DSOB0001,N1,مواد و محصولات دارويي,تابلو اصلي,DSOB1,Sobhan Pharm.,43622578471330344,گروه دارويي سبحان,دسبحا
IRR1BDAN0101,N2,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,فهرست اوليه,BDAX1,Dana Insurance-R,46262771961973371,ح . بيمه دانا,داناح
IRO1BDAN0001,N2,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,فهرست اوليه,BDAN1,Dana Insurance,48511238766369097,بيمه دانا,دانا
IRR1DZAH0101,N2,مواد و محصولات دارويي,فهرست اوليه,DZAX1,Zahravi Phar.-R,48879205486884942,ح . ‌داروسازي‌زهراوي‌,دزهراويح
IRO1ABDI0001,N2,مواد و محصولات دارويي,فهرست اوليه,ABDI1,Dr. Abidi Lab.,49054891736433700,لابراتوارداروسازي‌  دكترعبيدي‌,دعبيد
IRO1AMIN0001,N1,مواد و محصولات دارويي,تابلو فرعي,AMIN1,Amin Pharm.,50100062518826135,داروسازي‌ امين‌,دامين
IRR1DSOB0101,N1,مواد و محصولات دارويي,تابلو اصلي,DSOX1,Sobhan Pharm.-R,51063357877632134,ح .گروه دارويي سبحان,دسبحاح
IRR1DSIN0101,N2,مواد و محصولات دارويي,فهرست اوليه,DSIX1,Sina Darou Lab.-R,54299437423394846,ح . داروسازي‌ سينا,دسيناح
IRR1FTIR0101,N2,مواد و محصولات دارويي,فهرست اوليه,FTIX1,Iran Parenteral-R,54711449369613330,ح . فرآورده‌هاي‌ تزريقي‌,دفراح
IRO1DFRB0001,N1,مواد و محصولات دارويي,تابلو فرعي,DFRB1,Farabi Pharm.,56550776668133562,داروسازي‌ فارابي‌,دفارا
IRO1DALZ0001,N1,مواد و محصولات دارويي,تابلو اصلي,DALZ1,Alborz Darou,60451823714332895,البرزدارو,دالبر
IRO1DABO0001,N2,مواد و محصولات دارويي,فهرست اوليه,DABO1,Abouraihan P.,61332057061846617,داروسازي‌ ابوريحان‌,دابور
IRR1ROZD0101,N2,مواد و محصولات دارويي,فهرست اوليه,ROZX1,Rouz Darou P.-R,63452629875913229,ح . داروسازي‌ روزدارو,دروزح
IRO1PRDS0001,N2,محصولات شيميايي,فهرست اوليه,PRDS1,Disshap Petr.,64988580376499833,ديس شپ,ديسشپ
IRO1DAML0001,N2,مواد و محصولات دارويي,فهرست اوليه,DAML1,Damloran Pharm.,66450490505950110,داروسازي زاگرس فارمد پارس,ددام
IRR1DLGM0101,N2,مواد و محصولات دارويي,فهرست اوليه,DLGX1,Loghman Pharm.-R,66766792660974984,ح . دارويي‌ لقمان‌,دلقماح
IRO1DPAK0001,N2,مواد و محصولات دارويي,فهرست اوليه,DPAK1,Daroupakhsh P.,67988012428906654,كارخانجات‌داروپخش‌,دارو
IRO1IRDR0001,N2,مواد و محصولات دارويي,فهرست اوليه,IRDR1,Iran Darou,69090868458637360,ايران‌دارو,ديران
IRO1PDRO0001,N2,مواد و محصولات دارويي,فهرست اوليه,PDRO1,Pars Darou,70474983732269112,پارس‌ دارو,دپارس
IRO1TKIN0001,N2,خدمات فني و مهندسي,فهرست اوليه,TKIN1,Techinco,3823243780502959,كنترل‌خوردگي‌تكين‌كو,رتكو
IRR1RKSH0101,N2,رايانه و فعاليت‌هاي وابسته به آن,فهرست اوليه,RKSX1,Etebari Iran Co-R,21500060221654011,ح. كارت اعتباري ايران كيش,ركيشح
IRO1RKSH0001,N2,رايانه و فعاليت‌هاي وابسته به آن,فهرست اوليه,RKSH1,Etebari Iran Co,27952969918967492,كارت اعتباري ايران كيش,ركيش
